Issue ID,Gemini,Gemini-wo,DeepSeek,Deepseek-wo,Deepseek-all,Deepseek-rag,Qwen,Qwen-wo,Qwen-all,Qwen-rag,CodeRabbit,Greptile,Optimuzz,Direct LLM,Mini SWE Agent
121890,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
123550,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
124267,Found,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
124275,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
126974,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
135182,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
137196,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
140444,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
142286,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
143123,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
152824,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
154967,Found,Not found,Found,Not found,Not found,Found,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
157238,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
157714,Found,Found,Found,Found,Not found,Not found,Found,Found,Found,Found,Not found,Not found,Not found,Not found,Not found
161140,Found,Found,Found,Not found,Not found,Not found,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
161525,Found,Not found,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
